Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []"
3.282,-19.98951721,-2.068514635,-12.47429006,-12.75377827
3.292,-19.64579887,-2.059438539,-12.4952319,-12.85641805
3.302,-19.25948303,-2.051788155,-12.51673648,-12.95928604
3.312,-18.84561205,-2.045509087,-12.53876386,-13.06233206
3.322,-18.41649004,-2.040548046,-12.56127487,-13.16550574
3.332,-17.98164429,-2.036852887,-12.58423113,-13.26875568
3.342,-17.54813083,-2.034372573,-12.60759507,-13.37202966
3.352,-17.12097037,-2.033057286,-12.63133004,-13.47527566
3.362,-16.70360414,-2.032857478,-12.65539932,-13.57844011
3.372,-16.29826087,-2.033725806,-12.67976814,-13.68147021
3.382,-15.90629885,-2.035615193,-12.70440169,-13.78431096
3.392,-15.52844163,-2.038479711,-12.72926605,-13.88690758
3.402,-15.16496651,-2.042274403,-12.754328,-13.98920472
3.412,-14.81584191,-2.046955285,-12.77955502,-14.0911462
3.422,-14.48082746,-2.052479346,-12.80491534,-14.19267471
3.432,-14.15954627,-2.058804436,-12.83037777,-14.29373342
3.442,-13.85153574,-2.06588939,-12.8559119,-14.39426372
3.452,-13.55628431,-2.07369388,-12.88148791,-14.49420742
3.462,-13.27325638,-2.08217852,-12.90707669,-14.59350487
3.472,-13.00191016,-2.091304763,-12.93264978,-14.69209637
3.482,-12.74170933,-2.101034948,-12.95817935,-14.78992124
3.492,-12.49213117,-2.111332237,-12.98363821,-14.88691882
3.502,-12.25267141,-2.122160643,-13.00899982,-14.9830276
3.512,-12.02284734,-2.133485005,-13.03423827,-15.07818567
3.522,-11.80219942,-2.145270977,-13.05932825,-15.17233065
3.532,-11.59029196,-2.157485007,-13.08424507,-15.26540002
3.542,-11.38671303,-2.17009434,-13.10896467,-15.35733079
3.552,-11.19107399,-2.183066998,-13.13346357,-15.44805985
3.562,-11.00300869,-2.19637178,-13.15771889,-15.53752376
3.572,-10.8221706,-2.209978666,-13.1817074,-15.62566015
3.582,-10.64824622,-2.223856863,-13.20540988,-15.71240051
3.592,-10.48091266,-2.237978475,-13.22880266,-15.79769026
3.602,-10.31989402,-2.252314317,-13.25186714,-15.88146091
3.612,-10.16492899,-2.266838152,-13.27458143,-15.96364665
3.622,-10.01574235,-2.281522243,-13.29692673,-16.04419474
3.632,-9.872111722,-2.29634051,-13.31888472,-16.12303584
3.642,-9.733811915,-2.31126767,-13.34043681,-16.20010932
3.652,-9.600634678,-2.326279066,-13.36156539,-16.27535386
3.662,-9.472373756,-2.341350596,-13.3822525,-16.34871301
3.672,-9.34884484,-2.356458713,-13.40248166,-16.42012731
3.682,-9.229871207,-2.371580758,-13.42223641,-16.48953923
3.692,-9.11529112,-2.386694669,-13.44150168,-16.55689136
3.702,-9.00494181,-2.401778967,-13.46026112,-16.62213142
3.712,-8.898683044,-2.416811395,-13.47850225,-16.68520197
3.722,-8.796370241,-2.431775745,-13.496208,-16.74605997
3.732,-8.697868546,-2.44664609,-13.51336578,-16.80464587
3.742,-8.603056759,-2.461409762,-13.52996122,-16.86092369
3.752,-8.511821584,-2.476044214,-13.54598376,-16.91483957
3.762,-8.424048248,-2.490532763,-13.56141952,-16.96635399
3.772,-8.339632785,-2.504857918,-13.57625681,-17.01542621
3.782,-8.258476156,-2.519003419,-13.59048435,-17.06202011
3.792,-8.180485111,-2.532952437,-13.60409097,-17.10609886
3.802,-8.105569304,-2.546690227,-13.61706557,-17.14763318
3.812,-8.03363687,-2.56020229,-13.62940097,-17.18659199
3.822,-7.964645602,-2.573468178,-13.64108181,-17.22294282
3.832,-7.898480113,-2.586481246,-13.6521031,-17.25667368
3.842,-7.835088113,-2.599223968,-13.66245562,-17.28775615
3.852,-7.774396293,-2.611686239,-13.67212975,-17.31618371
3.862,-7.716345462,-2.623853402,-13.68111763,-17.34193508
3.872,-7.660882614,-2.635713092,-13.68941283,-17.36499968
3.882,-7.60794596,-2.647254578,-13.697007,-17.38537355
3.892,-7.557483291,-2.658467469,-13.70389317,-17.40305483
3.902,-7.509448507,-2.669340244,-13.71006555,-17.41804065
3.912,-7.463797697,-2.679862113,-13.71551826,-17.43033156
3.922,-7.42048204,-2.690025856,-13.72024481,-17.43994208
3.932,-7.379463255,-2.69982172,-13.72424025,-17.44687998
3.942,-7.340715414,-2.709236746,-13.72750156,-17.45114367
3.952,-7.304186657,-2.718269323,-13.73002116,-17.45277038
3.962,-7.269850699,-2.726909521,-13.73179567,-17.45177111
3.972,-7.237683123,-2.735148363,-13.73282344,-17.44816382
3.982,-7.2076437,-2.742983789,-13.7330974,-17.44198597
3.992,-7.179724512,-2.750403234,-13.73261871,-17.43324654
4.002,-7.153903855,-2.757400449,-13.73138441,-17.42197357
4.012,-7.130170534,-2.76396656,-13.72939378,-17.40818824
4.022,-7.10845767,-2.77011517,-13.72663661,-17.39198254
4.032,-7.088735475,-2.775846994,-13.72310845,-17.37340648
4.042,-7.07111965,-2.781108796,-13.71883221,-17.35235231
4.052,-7.055444578,-2.785950309,-13.71379306,-17.32900402
4.062,-7.041834427,-2.790332845,-13.70797406,-17.30334436
4.072,-7.030147554,-2.794283903,-13.70140432,-17.27544201
4.082,-7.020533282,-2.79776338,-13.69405954,-17.24529528
4.092,-7.012837713,-2.800810642,-13.68595341,-17.21302166
4.102,-7.00718454,-2.803382095,-13.67709649,-17.17856476
4.112,-7.003452987,-2.805522648,-13.66746894,-17.14210041
